Id2,Geography, SEX AND AGE - Total population, SEX AND AGE - Total population - Male, SEX AND AGE - Total population - Female, SEX AND AGE - Median age (years), SEX AND AGE - Under 18 years, SEX AND AGE - Under 18 years - Male, SEX AND AGE - Under 18 years - Female, SEX AND AGE - 18 years and over, SEX AND AGE - 18 years and over - Male, SEX AND AGE - 18 years and over - Female, SEX AND AGE - 18 to 34 years, SEX AND AGE - 18 to 34 years - Male, SEX AND AGE - 18 to 34 years - Female, SEX AND AGE - 35 to 64 years, SEX AND AGE - 35 to 64 years - Male, SEX AND AGE - 35 to 64 years - Female, SEX AND AGE - 65 years and over, SEX AND AGE - 65 years and over - Male, SEX AND AGE - 65 years and over - Female, MARITAL STATUS - Male 15 years and over - Never married, RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS - Population 30 years and over, RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state, RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,"Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Male","Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Female", POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people,YEAR
32,Nevada,2890845,50.1,49.9,37.8,668555,50.9,49.1,2222290,49.8,50.2,666033,50.9,49.1,1134145,50.2,49.8,422112,47.3,52.7,37.1,1758362,4.8,0.6,57807,45574,14.7,2015
33,New Hampshire,1330608,49.4,50.6,42.8,263331,51.2,48.8,1067277,49.0,51.0,285378,51.1,48.9,563542,49.3,50.7,218357,45.5,54.5,33.4,859251,4.1,0.6,76386,53156,8.2,2015
34,New Jersey,8958013,48.8,51.2,39.6,1998865,51.2,48.8,6959148,48.2,51.8,1944744,50.9,49.1,3671453,48.7,51.3,1342951,42.7,57.3,37.8,5593784,1.6,0.7,86695,61748,10.8,2015
35,New Mexico,2085109,49.6,50.4,37.4,499416,51.2,48.8,1585693,49.2,50.8,480571,51.8,48.2,774528,49.2,50.8,330594,45.3,54.7,37.4,1240769,2.7,0.4,54664,43674,20.4,2015
36,New York,19795791,48.6,51.4,38.3,4213167,51.2,48.8,15582624,47.9,52.1,4816731,50.0,50.0,7803446,48.6,51.4,2962447,42.6,57.4,41.7,12147392,1.3,0.8,77548,59326,15.4,2015
37,North Carolina,10042802,48.8,51.2,38.4,2288050,51.2,48.8,7754752,48.0,52.0,2290238,50.6,49.4,3948969,48.3,51.7,1515545,43.5,56.5,34.7,6097954,3.1,0.5,59977,45231,16.4,2015
38,North Dakota,756928,51.3,48.7,34.9,171314,50.8,49.2,585614,51.4,48.6,207697,54.3,45.7,270560,51.8,48.2,107357,44.9,55.1,36.9,432267,5.7,0.5,69099,42370,11.0,2015
39,Ohio,11613423,48.9,51.1,39.3,2629808,51.2,48.8,8983615,48.3,51.7,2573508,50.3,49.7,4570553,49.1,50.9,1839554,43.4,56.6,35.2,7132463,1.8,0.4,63792,45690,14.8,2015
40,Oklahoma,3911338,49.6,50.4,36.3,961097,51.4,48.6,2950241,49.0,51.0,928333,51.2,48.8,1445877,49.4,50.6,576031,44.4,55.6,32.2,2289935,2.9,0.5,59388,40342,16.1,2015
41,Oregon,4028977,49.4,50.6,39.1,861152,51.1,48.9,3167825,49.0,51.0,916674,50.6,49.4,1591373,49.5,50.5,659778,45.7,54.3,34.7,2530030,3.5,0.6,63200,48005,15.4,2015
