Id2,Geography, SEX AND AGE - Total population, SEX AND AGE - Total population - Male, SEX AND AGE - Total population - Female, SEX AND AGE - Median age (years), SEX AND AGE - Under 18 years, SEX AND AGE - Under 18 years - Male, SEX AND AGE - Under 18 years - Female, SEX AND AGE - 18 years and over, SEX AND AGE - 18 years and over - Male, SEX AND AGE - 18 years and over - Female, SEX AND AGE - 18 to 34 years, SEX AND AGE - 18 to 34 years - Male, SEX AND AGE - 18 to 34 years - Female, SEX AND AGE - 35 to 64 years, SEX AND AGE - 35 to 64 years - Male, SEX AND AGE - 35 to 64 years - Female, SEX AND AGE - 65 years and over, SEX AND AGE - 65 years and over - Male, SEX AND AGE - 65 years and over - Female, MARITAL STATUS - Male 15 years and over - Never married, RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS - Population 30 years and over, RESIDENCE 1 YEAR AGO - Population 1 year and over - Different house in the U.S. - Different county - Different state, RESIDENCE 1 YEAR AGO - Population 1 year and over - Abroad,"Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Male","Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Mean earnings (dollars) for full-time, year-round workers: - Female", POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED - All people,YEAR
31100,"Los Angeles-Long Beach-Santa Ana, CA Metro Area",12944801,49.4,50.6,35.3,3115486,51.1,48.9,9829315,48.8,51.2,3291623,51.0,49.0,5073943,49.1,50.9,1463749,42.9,57.1,43.5,7467496,1.0,0.7,66588,52000,17.0,2011
31140,"Louisville/Jefferson County, KY-IN Metro Area",1296820,48.8,51.2,38.3,308404,50.9,49.1,988416,48.1,51.9,285055,50.1,49.9,534450,48.7,51.3,168911,42.7,57.3,33.4,789314,2.2,0.3,59690,43592,15.3,2011
31540,"Madison, WI Metro Area",576467,49.5,50.5,35.3,124603,51.1,48.9,451864,49.1,50.9,161380,50.7,49.3,226696,49.7,50.3,63788,42.9,57.1,37.9,333299,2.8,0.6,66646,47299,12.6,2011
32580,"McAllen-Edinburg-Mission, TX Metro Area",797810,48.9,51.1,28.3,274666,51.0,49.0,523144,47.8,52.2,196776,49.7,50.3,250548,47.2,52.8,75820,44.8,55.2,32.7,380950,0.9,1.4,42743,33055,37.7,2011
32820,"Memphis, TN-MS-AR Metro Area",1324108,47.9,52.1,35.2,345891,50.5,49.5,978217,47.0,53.0,313330,48.6,51.4,522748,47.6,52.4,142139,41.0,59.0,40.3,754587,2.8,0.3,60386,42111,19.3,2011
33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",5670125,48.5,51.5,40.1,1209380,51.2,48.8,4460745,47.8,52.2,1247544,50.3,49.7,2303298,48.6,51.4,909903,42.5,57.5,37.9,3574013,1.7,1.3,59957,43113,17.8,2011
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",1562216,48.6,51.4,37.0,381168,50.8,49.2,1181048,47.9,52.1,363606,49.7,50.3,618776,48.9,51.1,198666,41.3,58.7,39.1,921739,2.2,0.3,66045,46567,15.2,2011
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3318486,49.4,50.6,36.3,819189,51.1,48.9,2499297,48.9,51.1,783312,50.3,49.7,1353659,49.6,50.4,362326,43.2,56.8,36.6,1952040,2.0,0.6,71824,54368,11.0,2011
33700,"Modesto, CA Metro Area",518522,49.7,50.3,32.9,146273,52.1,47.9,372249,48.8,51.2,125533,50.7,49.3,190814,49.1,50.9,55902,43.4,56.6,38.4,281355,0.8,0.4,56088,42387,23.8,2011
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1620403,48.8,51.2,36.0,390936,51.0,49.0,1229467,48.0,52.0,396534,49.2,50.8,654741,49.0,51.0,178192,42.0,58.0,33.1,951561,3.0,0.6,64080,44978,14.7,2011
35300,"New Haven-Milford, CT Metro Area",861113,48.2,51.8,39.5,188923,51.1,48.9,672190,47.4,52.6,195341,49.5,50.5,351368,48.3,51.7,125481,41.6,58.4,38.8,529225,1.4,0.6,69484,54086,13.2,2011
35380,"New Orleans-Metairie-Kenner, LA Metro Area",1191089,48.6,51.4,37.2,276480,51.1,48.9,914609,47.8,52.2,287419,49.4,50.6,478807,48.5,51.5,148383,42.4,57.6,40.7,709588,2.7,0.6,61644,40706,19.5,2011
35620,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",19015900,48.2,51.8,37.7,4289930,51.2,48.8,14725970,47.4,52.6,4514727,49.7,50.3,7689599,48.1,51.9,2521644,41.1,58.9,40.5,11552844,1.4,0.9,81380,59620,14.4,2011
35840,"North Port-Bradenton-Sarasota, FL Metro Area",709355,48.0,52.0,49.9,126316,51.0,49.0,583039,47.3,52.7,110086,50.3,49.7,273666,47.6,52.4,199287,45.2,54.8,26.0,505045,3.8,1.0,56053,40805,13.4,2011
36260,"Ogden-Clearfield, UT Metro Area",555437,50.3,49.7,30.3,178478,51.2,48.8,376959,49.8,50.2,140349,50.6,49.4,186318,50.3,49.7,50292,45.6,54.4,30.0,281064,2.2,0.3,66179,39543,10.1,2011
36420,"Oklahoma City, OK Metro Area",1278053,49.4,50.6,34.5,318964,51.5,48.5,959089,48.7,51.3,327121,50.6,49.4,480031,49.1,50.9,151937,42.9,57.1,32.5,723916,2.6,0.6,57029,40000,16.6,2011
36540,"Omaha-Council Bluffs, NE-IA Metro Area",875074,49.3,50.7,34.8,228596,51.3,48.7,646478,48.7,51.3,211231,50.3,49.7,336287,49.4,50.6,98960,42.8,57.2,34.2,497833,3.6,0.3,60954,44206,12.6,2011
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2171360,49.0,51.0,36.4,502342,51.1,48.9,1669018,48.3,51.7,542904,50.6,49.4,853455,48.3,51.7,272659,43.9,56.1,39.6,1273543,2.3,1.2,58406,40265,16.0,2011
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",831771,49.7,50.3,36.5,210373,51.0,49.0,621398,49.2,50.8,190185,52.1,47.9,331010,49.2,50.8,100203,43.9,56.1,36.1,484129,1.8,0.5,74120,57859,11.3,2011
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",543566,49.2,50.8,46.0,105007,52.2,47.8,438559,48.4,51.6,98727,51.4,48.6,226864,48.8,51.2,112968,45.2,54.8,31.1,366580,3.6,0.3,59665,41350,14.0,2011
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",5992414,48.3,51.7,38.1,1378919,51.0,49.0,4613495,47.4,52.6,1388254,49.7,50.3,2420824,48.1,51.9,804417,41.6,58.4,40.1,3605050,2.1,0.6,74638,53770,13.5,2011
38060,"Phoenix-Mesa-Glendale, AZ Metro Area",4263236,49.8,50.2,35.0,1107305,51.2,48.8,3155931,49.3,50.7,1021305,51.5,48.5,1594950,49.4,50.6,539676,45.0,55.0,36.3,2434839,3.5,0.7,59285,45631,17.4,2011
38300,"Pittsburgh, PA Metro Area",2359746,48.3,51.7,42.6,468902,51.0,49.0,1890844,47.7,52.3,496888,50.4,49.6,987245,48.9,51.1,406711,41.3,58.7,35.3,1530158,1.6,0.4,64851,44823,12.6,2011
38860,"Portland-South Portland-Biddeford, ME Metro Area",515807,48.5,51.5,42.2,107430,51.5,48.5,408377,47.8,52.2,101624,50.5,49.5,227890,48.3,51.7,78863,42.6,57.4,32.5,335439,3.6,0.6,67305,45571,11.5,2011
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2262702,49.4,50.6,37.0,527840,51.4,48.6,1734862,48.8,51.2,535445,50.1,49.9,935483,49.5,50.5,263934,43.7,56.3,34.7,1372611,3.7,0.7,66639,48005,15.0,2011
39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",672871,49.8,50.2,38.7,164649,51.1,48.9,508222,49.4,50.6,143995,52.5,47.5,280486,49.8,50.2,83741,42.9,57.1,37.5,400849,1.4,0.6,69085,51745,12.2,2011
39300,"Providence-New Bedford-Fall River, RI-MA Metro Area",1600224,48.4,51.6,39.8,339513,51.2,48.8,1260711,47.7,52.3,366675,50.1,49.9,661132,48.5,51.5,232904,41.5,58.5,38.3,988981,2.3,0.6,64520,48706,13.7,2011
39340,"Provo-Orem, UT Metro Area",541710,50.1,49.9,24.4,188592,51.5,48.5,353118,49.4,50.6,175928,50.0,50.0,140836,50.0,50.0,36354,44.5,55.5,34.8,218784,4.3,0.9,64793,38778,14.1,2011
39580,"Raleigh-Cary, NC Metro Area",1163515,48.6,51.4,35.1,301417,50.2,49.8,862098,48.0,52.0,278563,49.2,50.8,473601,48.7,51.3,109934,41.6,58.4,34.8,674666,2.6,0.6,69512,49998,12.3,2011
40060,"Richmond, VA Metro Area",1270541,48.5,51.5,38.0,293158,51.2,48.8,977383,47.7,52.3,294555,50.3,49.7,522530,48.0,52.0,160298,41.5,58.5,37.7,764322,2.3,0.7,64955,46974,12.4,2011
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4304997,49.8,50.2,32.8,1216301,51.1,48.9,3088696,49.2,50.8,1053838,51.0,49.0,1577199,49.4,50.6,457659,44.7,55.3,37.5,2320043,1.1,0.5,56489,45425,18.0,2011
40380,"Rochester, NY Metro Area",1055278,48.6,51.4,39.5,232626,50.9,49.1,822652,48.0,52.0,240776,50.0,50.0,429884,48.8,51.2,151992,42.6,57.4,37.9,640862,1.6,0.7,61852,46640,15.5,2011
40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",2176235,49.1,50.9,36.2,532592,51.4,48.6,1643643,48.4,51.6,520872,50.2,49.8,853511,48.7,51.3,269260,43.8,56.2,36.5,1265203,1.2,0.7,66604,52666,16.1,2011
41180,"St. Louis, MO-IL Metro Area",2813680,48.3,51.7,38.4,661831,50.9,49.1,2151849,47.6,52.4,631003,49.6,50.4,1138698,48.3,51.7,382148,42.0,58.0,34.4,1703028,1.8,0.3,65970,46249,13.7,2011
41620,"Salt Lake City, UT Metro Area",1145905,50.3,49.7,31.2,336583,50.9,49.1,809322,50.1,49.9,308354,51.2,48.8,401493,50.5,49.5,99475,44.7,55.3,33.5,597952,2.9,0.5,61060,42133,13.9,2011
41700,"San Antonio-New Braunfels, TX Metro Area",2196132,49.2,50.8,34.1,585701,50.9,49.1,1610431,48.6,51.4,535504,50.8,49.2,831164,48.5,51.5,243763,43.7,56.3,34.7,1223286,2.3,0.7,55126,43149,16.6,2011
41740,"San Diego-Carlsbad-San Marcos, CA Metro Area",3140069,50.2,49.8,34.8,726602,51.2,48.8,2413467,49.9,50.1,853110,53.1,46.9,1197338,49.6,50.4,363019,43.6,56.4,40.7,1789504,2.2,1.0,64701,52350,15.1,2011
41860,"San Francisco-Oakland-Fremont, CA Metro Area",4391037,49.4,50.6,38.5,923418,51.1,48.9,3467619,48.9,51.1,1044385,50.6,49.4,1854955,49.7,50.3,568279,43.3,56.7,39.4,2754490,1.3,1.0,89803,68281,11.9,2011
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1865450,50.1,49.9,36.3,447755,51.0,49.0,1417695,49.9,50.1,444377,52.0,48.0,763306,50.3,49.7,210012,43.9,56.1,37.2,1113522,1.3,1.4,95625,70716,10.6,2011
42540,"Scranton--Wilkes-Barre, PA Metro Area",563184,48.7,51.3,42.3,113446,51.2,48.8,449738,48.0,52.0,118484,51.0,49.0,231081,49.7,50.3,100173,40.8,59.2,36.0,363581,2.2,0.3,54181,39670,14.5,2011
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3500026,49.9,50.1,36.9,786733,51.2,48.8,2713293,49.5,50.5,866837,51.3,48.7,1457624,50.1,49.9,388832,43.5,56.5,35.7,2111649,3.1,1.0,76937,54525,11.9,2011
44140,"Springfield, MA Metro Area",693204,47.9,52.1,39.5,147898,51.2,48.8,545306,47.0,53.0,168658,48.1,51.9,278999,48.1,51.9,97649,41.7,58.3,40.2,415370,1.8,0.9,62009,47561,15.6,2011
44700,"Stockton, CA Metro Area",696214,49.8,50.2,32.6,201444,51.3,48.7,494770,49.2,50.8,165846,51.3,48.7,255232,49.5,50.5,73692,43.6,56.4,38.9,375196,1.2,1.0,57343,45228,18.1,2011
45060,"Syracuse, NY Metro Area",662553,48.8,51.2,39.4,148020,51.4,48.6,514533,48.0,52.0,154857,49.7,50.3,266736,48.9,51.1,92940,42.5,57.5,37.6,396877,1.9,0.6,61208,44389,16.2,2011
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2824724,48.5,51.5,41.6,588321,51.5,48.5,2236403,47.8,52.2,591494,49.6,50.4,1152645,48.5,51.5,492264,43.8,56.2,33.3,1816084,2.9,0.7,60472,42393,16.3,2011
45780,"Toledo, OH Metro Area",650266,48.4,51.6,37.7,150593,50.9,49.1,499673,47.7,52.3,154117,49.5,50.5,256261,48.6,51.4,89295,41.9,58.1,38.8,383945,1.4,0.5,57806,41059,20.2,2011
46060,"Tucson, AZ Metro Area",989569,49.3,50.7,37.9,224040,51.5,48.5,765529,48.7,51.3,237076,51.1,48.9,371522,48.8,51.2,156931,44.9,55.1,37.6,589869,2.8,0.6,57174,41069,20.4,2011
46140,"Tulsa, OK Metro Area",947382,49.0,51.0,36.8,238871,51.2,48.8,708511,48.3,51.7,214044,50.2,49.8,369913,48.8,51.2,124554,43.5,56.5,29.9,556478,2.4,0.2,59441,39535,15.3,2011
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1677984,49.1,50.9,35.4,390590,51.1,48.9,1287394,48.4,51.6,441722,51.7,48.3,647814,48.0,52.0,197858,42.5,57.5,36.6,956720,4.2,0.7,57104,42421,11.7,2011
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5703948,48.8,51.2,36.1,1347368,51.4,48.6,4356580,48.0,52.0,1409982,49.6,50.4,2361497,48.3,51.7,585101,43.0,57.0,37.9,3383583,4.1,1.2,88387,67179,8.3,2011
48620,"Wichita, KS Metro Area",625039,49.2,50.8,35.4,166368,50.4,49.6,458671,48.8,51.2,143732,50.3,49.7,237890,49.6,50.4,77049,43.5,56.5,32.4,355113,1.9,0.4,56770,39919,14.8,2011
49340,"Worcester, MA Metro Area",801227,49.3,50.7,39.6,184820,51.4,48.6,616407,48.7,51.3,171096,50.7,49.3,341333,49.6,50.4,103978,42.6,57.4,36.8,491570,1.9,0.5,72320,52854,11.6,2011
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",562739,48.7,51.3,43.3,120018,51.2,48.8,442721,48.0,52.0,107117,50.7,49.3,234980,49.4,50.6,100624,41.6,58.4,32.8,364551,1.7,0.1,51180,36869,16.1,2011
1,Alabama,4822023,48.5,51.5,38.2,1124975,51.1,48.9,3697048,47.6,52.4,1096245,49.3,50.7,1900444,48.4,51.6,700359,42.8,57.2,32.3,2903998,2.2,0.3,57577,38450,19.0,2012
2,Alaska,731449,52.1,47.9,33.8,187265,51.8,48.2,544184,52.2,47.8,188921,53.5,46.5,293144,52.3,47.7,62119,47.9,52.1,39.2,406914,4.6,0.6,66089,51386,10.1,2012
4,Arizona,6553255,49.8,50.2,36.6,1619585,51.2,48.8,4933670,49.3,50.7,1529120,51.7,48.3,2433464,49.2,50.8,971086,45.7,54.3,36.5,3838784,3.6,0.6,58949,43689,18.7,2012
5,Arkansas,2949131,49.1,50.9,37.6,711629,51.6,48.4,2237502,48.3,51.7,667533,50.2,49.8,1128862,48.9,51.1,441107,44.0,56.0,30.3,1757976,2.6,0.3,51469,36790,19.8,2012
6,California,38041430,49.7,50.3,35.5,9239306,51.1,48.9,28802124,49.3,50.7,9496658,51.6,48.4,14706073,49.5,50.5,4599393,43.9,56.1,40.3,21994953,1.3,0.7,69135,54003,17.0,2012
8,Colorado,5187582,50.1,49.9,36.2,1231307,51.0,49.0,3956275,49.9,50.1,1268185,52.0,48.0,2077151,50.0,50.0,610939,44.8,55.2,34.7,3066412,4.0,0.7,67316,48852,13.7,2012
9,Connecticut,3590347,48.7,51.3,40.4,792766,51.2,48.8,2797581,48.0,52.0,772212,50.7,49.3,1493345,48.6,51.4,532024,42.6,57.4,37.0,2240257,2.3,0.7,88496,59158,10.7,2012
10,Delaware,917092,48.5,51.5,39.2,204920,51.1,48.9,712172,47.7,52.3,207408,50.0,50.0,363951,47.8,52.2,140813,44.3,55.7,35.0,559920,3.8,0.4,63383,49251,12.0,2012
11,District of Columbia,632323,47.3,52.7,33.7,109452,50.2,49.8,522871,46.7,53.3,222218,46.4,53.6,228752,48.9,51.1,71901,40.4,59.6,59.1,364373,8.6,1.4,95228,77365,18.2,2012
12,Florida,19317568,48.9,51.1,41.1,4000973,51.0,49.0,15316595,48.3,51.7,4193865,50.7,49.3,7613903,48.7,51.3,3508827,44.7,55.3,34.7,12291935,2.8,0.9,58002,41921,17.1,2012
13,Georgia,9919945,48.9,51.1,35.7,2495747,51.1,48.9,7424198,48.2,51.8,2370261,50.3,49.7,3914581,48.4,51.6,1139356,43.0,57.0,36.4,5735008,2.8,0.5,61439,43667,19.2,2012
15,Hawaii,1392313,50.4,49.6,38.3,302881,51.3,48.7,1089432,50.1,49.9,336459,53.9,46.1,542550,50.0,50.0,210423,44.4,55.6,37.7,848920,4.0,1.5,55867,45704,11.6,2012
16,Idaho,1595728,50.1,49.9,35.2,424752,51.2,48.8,1170976,49.6,50.4,368619,51.1,48.9,591325,49.9,50.1,211032,46.5,53.5,29.0,906229,3.8,0.4,53537,37100,15.9,2012
17,Illinois,12875255,49.1,50.9,37.0,3063051,51.1,48.9,9812204,48.4,51.6,3035397,50.6,49.4,5081095,49.1,50.9,1695712,42.6,57.4,37.8,7663757,1.6,0.5,68691,49725,14.7,2012
18,Indiana,6537334,49.2,50.8,37.3,1589419,51.3,48.7,4947915,48.6,51.4,1500210,50.5,49.5,2558279,49.3,50.7,889426,43.2,56.8,33.2,3866593,2.1,0.4,57348,40433,15.6,2012
19,Iowa,3074186,49.6,50.4,38.0,722666,51.3,48.7,2351520,49.1,50.9,704158,51.0,49.0,1177744,50.2,49.8,469618,43.3,56.7,31.5,1843457,2.5,0.4,56423,40851,12.7,2012
20,Kansas,2885905,49.7,50.3,36.0,721277,50.9,49.1,2164628,49.3,50.7,684453,51.7,48.3,1085951,49.8,50.2,394224,43.7,56.3,31.3,1668831,3.1,0.6,59834,40832,14.0,2012
21,Kentucky,4380415,49.2,50.8,38.4,1017979,51.3,48.7,3362436,48.6,51.4,988725,50.6,49.4,1760085,49.3,50.7,613626,43.3,56.7,31.4,2660317,2.6,0.4,54776,39401,19.4,2012
22,Louisiana,4601893,48.9,51.1,36.0,1119124,50.9,49.1,3482769,48.2,51.8,1121099,50.0,50.0,1763920,48.8,51.2,597750,43.0,57.0,37.7,2677088,2.0,0.3,60908,38334,19.9,2012
23,Maine,1329192,49.0,51.0,43.5,265987,51.6,48.4,1063205,48.3,51.7,263539,50.0,50.0,573693,48.9,51.1,225973,44.8,55.2,30.0,873885,2.1,0.3,54870,41781,14.7,2012
24,Maryland,5884563,48.4,51.6,38.1,1342935,50.9,49.1,4541628,47.7,52.3,1371119,50.1,49.9,2407828,47.8,52.2,762681,42.7,57.3,37.2,3566697,2.7,0.7,75588,59041,10.3,2012
25,Massachusetts,6646144,48.4,51.6,39.5,1401255,51.1,48.9,5244889,47.7,52.3,1574996,49.7,50.3,2708862,48.5,51.5,961031,42.3,57.7,38.6,4094193,2.2,0.9,80941,59015,11.9,2012
26,Michigan,9883360,49.1,50.9,39.5,2267623,51.2,48.8,7615737,48.4,51.6,2167008,50.4,49.6,4006106,49.1,50.9,1442623,43.6,56.4,35.8,6033801,1.4,0.5,62866,44514,17.4,2012
27,Minnesota,5379139,49.6,50.4,37.6,1277800,51.1,48.9,4101339,49.2,50.8,1238031,50.7,49.3,2133398,50.0,50.0,729910,44.2,55.8,34.3,3233387,1.9,0.5,67295,48770,11.4,2012
28,Mississippi,2984926,48.3,51.7,36.2,747669,50.7,49.3,2237257,47.5,52.5,699818,49.3,50.7,1134715,48.2,51.8,402724,42.5,57.5,36.0,1729546,2.5,0.2,52929,35929,24.2,2012
29,Missouri,6021988,49.0,51.0,38.2,1403706,51.5,48.5,4618282,48.3,51.7,1384879,50.2,49.8,2349078,49.0,51.0,884325,43.6,56.4,33.0,3626075,2.7,0.4,58387,40249,16.2,2012
30,Montana,1005141,50.1,49.9,40.2,220140,51.2,48.8,785001,49.8,50.2,222181,51.4,48.6,404235,49.9,50.1,158585,47.0,53.0,31.5,624369,3.8,0.2,53083,37531,15.5,2012
31,Nebraska,1855525,49.7,50.3,36.3,462802,51.5,48.5,1392723,49.2,50.8,435078,51.0,49.0,700673,50.0,50.0,256972,43.8,56.2,33.3,1080981,2.4,0.4,56098,39670,13.0,2012
32,Nevada,2758931,50.4,49.6,36.8,664422,51.5,48.5,2094509,50.1,49.9,647871,51.2,48.8,1087152,50.4,49.6,359486,47.2,52.8,36.0,1644004,4.6,0.5,56282,43300,16.4,2012
33,New Hampshire,1320718,49.1,50.9,41.9,275022,50.6,49.4,1045696,48.7,51.3,273868,50.2,49.8,577731,49.3,50.7,194097,44.7,55.3,32.7,843925,3.9,0.5,69740,50234,10.0,2012
34,New Jersey,8864590,48.7,51.3,39.4,2026738,51.0,49.0,6837852,48.1,51.9,1917066,50.9,49.1,3670472,48.7,51.3,1250314,42.1,57.9,37.4,5491069,1.5,0.7,83625,58586,10.8,2012
35,New Mexico,2085538,49.6,50.4,36.8,515848,51.3,48.7,1569690,49.1,50.9,484239,51.3,48.7,791193,49.1,50.9,294258,45.4,54.6,36.1,1216982,2.7,0.5,53379,40903,20.8,2012
36,New York,19570261,48.5,51.5,38.1,4261010,51.1,48.9,15309251,47.7,52.3,4754564,50.0,50.0,7795226,48.4,51.6,2759461,41.9,58.1,41.1,11888692,1.4,0.8,73130,55280,15.9,2012
37,North Carolina,9752073,48.7,51.3,37.8,2284002,51.1,48.9,7468071,48.0,52.0,2230331,50.4,49.6,3891040,48.4,51.6,1346700,43.0,57.0,34.0,5866536,2.8,0.5,57881,42082,18.0,2012
38,North Dakota,699628,51.1,48.9,36.2,154098,51.7,48.3,545530,50.9,49.1,186378,53.4,46.6,258190,51.9,48.1,100962,44.0,56.0,35.8,406411,5.5,0.5,62686,39181,11.2,2012
39,Ohio,11544225,48.9,51.1,39.3,2659925,51.2,48.8,8884300,48.2,51.8,2543785,50.2,49.8,4632947,49.0,51.0,1707568,42.9,57.1,34.3,7053972,1.7,0.4,60511,43309,16.3,2012
40,Oklahoma,3814820,49.5,50.5,36.3,936284,51.2,48.8,2878536,49.0,51.0,907932,51.3,48.7,1434597,49.4,50.6,536007,44.1,55.9,30.9,2224580,2.9,0.4,55685,37704,17.2,2012
41,Oregon,3899353,49.6,50.4,38.9,860746,51.6,48.4,3038607,49.0,51.0,899792,50.8,49.2,1557122,49.4,50.6,581693,44.9,55.1,33.8,2411694,3.1,0.5,61836,45290,17.2,2012
42,Pennsylvania,12763536,48.8,51.2,40.5,2737454,51.2,48.8,10026082,48.2,51.8,2841802,50.5,49.5,5142350,49.1,50.9,2041930,42.5,57.5,36.3,7950194,1.7,0.4,64638,46421,13.7,2012
44,Rhode Island,1050292,48.3,51.7,39.8,216962,51.1,48.9,833330,47.5,52.5,249960,49.7,50.3,424545,48.4,51.6,158825,41.7,58.3,39.4,646075,3.2,0.6,64501,51290,13.7,2012
45,South Carolina,4723723,48.6,51.4,38.3,1080976,51.1,48.9,3642747,47.9,52.1,1090256,50.1,49.9,1857715,48.2,51.8,694776,43.6,56.4,34.6,2850121,3.4,0.4,55542,39804,18.3,2012
46,South Dakota,833354,50.1,49.9,36.7,204222,51.1,48.9,629132,49.8,50.2,195470,51.8,48.2,312570,50.6,49.4,121092,44.7,55.3,34.1,488413,3.2,0.5,53785,37608,13.4,2012
47,Tennessee,6456243,48.7,51.3,38.2,1494217,51.0,49.0,4962026,48.0,52.0,1469002,49.8,50.2,2572303,48.6,51.4,920721,43.4,56.6,32.2,3914312,2.8,0.3,57595,39768,17.9,2012
48,Texas,26059203,49.7,50.3,33.9,6981175,51.1,48.9,19078028,49.2,50.8,6439164,51.1,48.9,9801142,49.3,50.7,2837722,44.1,55.9,34.9,14504472,2.0,0.8,62026,43809,17.9,2012
49,Utah,2855287,50.3,49.7,29.9,887188,51.3,48.7,1968099,49.8,50.2,771878,50.6,49.4,924339,50.3,49.7,271882,45.7,54.3,32.5,1421974,3.1,0.7,60297,40909,12.8,2012
50,Vermont,626011,49.4,50.6,42.4,123889,51.8,48.2,502122,48.8,51.2,137474,50.7,49.3,266159,49.2,50.8,98489,45.0,55.0,33.6,399027,3.9,0.4,58120,45949,11.8,2012
51,Virginia,8185867,49.0,51.0,37.5,1854632,50.9,49.1,6331235,48.5,51.5,1965081,50.8,49.2,3304021,48.7,51.3,1062133,43.5,56.5,34.8,4929096,3.1,0.8,72226,52429,11.7,2012
53,Washington,6897012,49.9,50.1,37.5,1585029,51.3,48.7,5311983,49.5,50.5,1636730,51.3,48.7,2767635,49.8,50.2,907618,45.2,54.8,34.1,4154924,3.2,0.7,68882,50684,13.5,2012
54,West Virginia,1855413,49.1,50.9,41.5,384220,50.8,49.2,1471193,48.7,51.3,393043,50.6,49.4,767046,49.5,50.5,311104,44.4,55.6,31.0,1190898,2.6,0.2,55665,37642,17.8,2012
55,Wisconsin,5726398,49.6,50.4,38.8,1316750,51.3,48.7,4409648,49.2,50.8,1289958,50.8,49.2,2295660,50.1,49.9,824030,44.0,56.0,34.2,3488020,1.8,0.3,59144,43833,13.2,2012
56,Wyoming,576412,50.8,49.2,36.9,136610,51.5,48.5,439802,50.6,49.4,138939,52.7,47.3,225813,50.5,49.5,75050,46.8,53.2,30.4,339662,5.5,0.4,61138,39301,12.6,2012
10420,"Akron, OH Metro Area",702262,48.4,51.6,40.1,151475,50.6,49.4,550787,47.8,52.2,160598,49.5,50.5,284993,48.7,51.3,105196,42.9,57.1,36.3,431549,1.5,0.3,61813,44498,15.7,2012
10580,"Albany-Schenectady-Troy, NY Metro Area",874646,48.7,51.3,39.9,180341,50.4,49.6,694305,48.2,51.8,206877,50.3,49.7,358363,49.1,50.9,129065,42.6,57.4,39.7,541102,1.7,0.5,65713,49700,11.0,2012
10740,"Albuquerque, NM Metro Area",902794,49.4,50.6,37.0,217278,51.4,48.6,685516,48.7,51.3,214870,50.8,49.2,350822,48.9,51.1,119824,44.5,55.5,37.2,532449,2.6,0.6,55482,44804,18.5,2012
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",827171,48.7,51.3,41.2,181892,51.5,48.5,645279,48.0,52.0,170770,50.6,49.4,342572,48.7,51.3,131937,42.7,57.3,34.3,522227,2.2,0.6,63514,44725,10.5,2012
12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",5442113,48.7,51.3,35.4,1408324,51.1,48.9,4033789,47.8,52.2,1281168,49.6,50.4,2215564,47.9,52.1,537057,42.9,57.1,36.8,3149083,2.8,0.6,69024,48698,16.6,2012
12260,"Augusta-Richmond County, GA-SC Metro Area",568161,48.6,51.4,36.6,137920,51.0,49.0,430241,47.8,52.2,136891,51.0,49.0,219524,47.1,52.9,73826,43.7,56.3,34.9,332787,4.2,0.3,57608,39068,20.3,2012
12420,"Austin-Round Rock-San Marcos, TX Metro Area",1834303,50.1,49.9,33.1,457353,51.2,48.8,1376950,49.8,50.2,514121,50.8,49.2,703450,50.2,49.8,159379,44.5,55.5,39.4,1018861,2.8,0.8,68212,48759,15.5,2012
12540,"Bakersfield-Delano, CA Metro Area",856158,51.4,48.6,30.8,255747,50.8,49.2,600411,51.6,48.4,221335,54.5,45.5,298647,51.0,49.0,80429,45.8,54.2,38.8,438583,1.0,0.3,58267,41403,23.8,2012
